id	strain	ok	call.rate	sex
281	B6.A-19 BC1	161	0.6653	F
520	B6.A-19 BC1	130	0.5372	F
494	B6.A-19 BC1	234	0.9669	F
495	B6.A-19 BC1	231	0.9545	F
522	B6.A-19 BC1	234	0.9669	M
787	B6.A-19 BC1	231	0.9545	F
232	B6.A-19 BC1	220	0.9091	F
638	B6.A-19 BC1	235	0.9711	F
640	B6.A-19 BC1	239	0.9876	M
192	B6.A-19 BC1	233	0.9628	F
339	B6.A-19 BC1	232	0.9587	F
661	B6.A-19 BC1	231	0.9545	F
654	B6.A-19 BC1	239	0.9876	M
406	B6.A-19 BC1	233	0.9628	M
538	B6.A-19 BC1	236	0.9752	M
613	B6.A-19 BC1	235	0.9711	M
857	B6.A-19 BC1	238	0.9835	M
461	B6.A-19 BC1	234	0.9669	M
277	B6.A-19 BC1	235	0.9711	M
238	B6.A-19 BC1	233	0.9628	F
639	B6.A-19 BC1	233	0.9628	F
252	B6.A-19 BC1	234	0.9669	M
618	B6.A-19 BC1	234	0.9669	F
679	B6.A-19 BC1	232	0.9587	M
604	B6.A-19 BC1	238	0.9835	M
336	B6.A-19 BC1	217	0.8967	F
614	B6.A-19 BC1	238	0.9835	M
341	B6.A-19 BC1	222	0.9174	F
346	B6.A-19 BC1	231	0.9545	F
414	B6.A-19 BC1	233	0.9628	F
